,event_name,slot_date,count,max_amount,location,language,creator_id,creator_name,creator_info,participants
84,Christmas Day Breakfast私,02/03/2025,20,3500,chennai,"['english', 'hindi']",84,Gabriel Smith,"['emotions and feelings', ""author's film enthusiast"", 'funny person', 'trendy and expressive', 'spontanous and improvized', 'rap', 'Noticeably Introverted', 'Fairly Motivated', 'Occasionally Creative', 'Occasionally Stressed', 'Dream Job', 'Moderately Spiritual', 'Moderately Family-Oriented', 'Extremely Lonely', 'Rarely Enjoys Going Out', 'Very Passionate About Working Out', 'Academic Success Occasionally Matters', 'Leans Toward City', 'Absolutely Loves Politically Incorrect Humor', 'Passionate About Discussing Politics']","[{'participant_name': 'Joshua Zavala', 'profession': 'surveying and mapping technician', 'participant_info': ['emotions and feelings', 'mainstream blockbuster lover', 'funny person', 'trendy and expressive', 'well-planned in advance', 'rock', 'Very Highly Introverted', 'Incredibly Self-Driven', 'Highly Creative', 'Occasionally Stressed', 'Very Bad Job', 'Rarely Spiritual', 'Occasionally Family-Oriented', 'Never Lonely', 'Highly Enjoys Going Out', 'Very Passionate About Working Out', 'Academic Success Rarely Matters', 'Loves Only City', 'Moderately Enjoys Politically Incorrect Humor', 'Somewhat Enjoys Discussing Politics']}, {'participant_name': 'Justin Lynch', 'profession': '', 'participant_info': ['emotions and feelings', 'mainstream blockbuster lover', 'funny person', 'classic and timeless', 'well-planned in advance', 'neither rap or rock', 'Ambiverted', 'Extremely Motivated', 'Occasionally Creative', 'Not Stressed at All', 'Terrible Job', 'Not Spiritual at All', 'Moderately Family-Oriented', 'Rarely Lonely', 'Loves Going Out All the Time', 'Somewhat Enjoys Working Out', 'Academic Success Fairly Matters', 'Prefers Nature Strongly', 'Mildly Enjoys Politically Incorrect Humor', 'Moderately Enjoys Discussing Politics']}, {'participant_name': 'Gabriel Smith', 'profession': 'space scientist', 'participant_info': ['emotions and feelings', ""author's film enthusiast"", 'funny person', 'trendy and expressive', 'spontanous and improvized', 'rap', 'Noticeably Introverted', 'Fairly Motivated', 'Occasionally Creative', 'Occasionally Stressed', 'Dream Job', 'Moderately Spiritual', 'Moderately Family-Oriented', 'Extremely Lonely', 'Rarely Enjoys Going Out', 'Very Passionate About Working Out', 'Academic Success Occasionally Matters', 'Leans Toward City', 'Absolutely Loves Politically Incorrect Humor', 'Passionate About Discussing Politics']}]"
85,Enjoy a 6 course Pan Asian Meal with Strangers,08/03/2025,15,2500,mumbai,"['english', 'tamil']",85,Crystal Ward,"['emotions and feelings', 'mainstream blockbuster lover', 'funny person', 'classic and timeless', 'well-planned in advance', 'rock', 'Extremely Introverted', 'Highly Motivated', 'Occasionally Creative', 'Severely Overwhelmed', 'Decent Job', 'Deeply Enlightened', 'Not Family-Oriented at All', 'Fairly Lonely', 'Moderately Enjoys Going Out', 'Extremely Dedicated to Working Out', 'Academic Success Occasionally Matters', 'Balanced Between Nature and City', 'Very Highly Enjoys Politically Incorrect Humor', 'Highly Enjoys Discussing Politics']","[{'participant_name': 'Victoria Christensen', 'profession': 'health technician', 'participant_info': ['emotions and feelings', ""author's film enthusiast"", 'funny person', 'trendy and expressive', 'well-planned in advance', 'neither rap or rock', 'Highly Extroverted', 'Extremely Motivated', 'Exceptionally Imaginative', 'Fairly Stressed', 'Very Bad Job', 'Moderately Spiritual', 'Extremely Family-Oriented', 'Never Lonely', 'Highly Enjoys Going Out', 'Rarely Works Out', 'Academic Success Slightly Matters', 'Leans Toward City', 'Moderately Enjoys Politically Incorrect Humor', 'Somewhat Enjoys Discussing Politics']}, {'participant_name': 'Alexis Cunningham', 'profession': 'pharmacy technician', 'participant_info': ['logical and facts', ""author's film enthusiast"", 'funny person', 'trendy and expressive', 'spontanous and improvized', 'rock', 'Highly Extroverted', 'Not Motivated at All', 'Very Highly Creative', 'Extremely Stressed', 'Terrible Job', 'Deeply Enlightened', 'Not Family-Oriented at All', 'Very Highly Lonely', 'Loves Going Out All the Time', 'Very Passionate About Working Out', 'Academic Success Slightly Matters', 'Loves Only City', 'Highly Enjoys Politically Incorrect Humor', 'Often Enjoys Discussing Politics']}, {'participant_name': 'Crystal Ward', 'profession': 'space scientist', 'participant_info': ['emotions and feelings', 'mainstream blockbuster lover', 'funny person', 'classic and timeless', 'well-planned in advance', 'rock', 'Extremely Introverted', 'Highly Motivated', 'Occasionally Creative', 'Severely Overwhelmed', 'Decent Job', 'Deeply Enlightened', 'Not Family-Oriented at All', 'Fairly Lonely', 'Moderately Enjoys Going Out', 'Extremely Dedicated to Working Out', 'Academic Success Occasionally Matters', 'Balanced Between Nature and City', 'Very Highly Enjoys Politically Incorrect Humor', 'Highly Enjoys Discussing Politics']}]"
86,Bombay Style Breakfast with Strangers.,02/03/2025,20,1500,bangalore,"['english', 'hindi']",86,Theresa Ochoa,"['emotions and feelings', ""author's film enthusiast"", 'smart person', 'trendy and expressive', 'spontanous and improvized', 'rap', 'Slightly Introverted', 'Slightly Motivated', 'Not Creative at All', 'Rarely Stressed', 'Very Bad Job', 'Highly Spiritual', 'Rarely Family-Oriented', 'Slightly Lonely', 'Occasionally Enjoys Going Out', 'Occasionally Works Out', ""Academic Success Doesn't Matter at All"", 'Enjoys City More', 'Strongly Dislikes Politically Incorrect Humor', 'Passionate About Discussing Politics']","[{'participant_name': 'Patrick Little', 'profession': 'information security engineer', 'participant_info': ['emotions and feelings', ""author's film enthusiast"", 'smart person', 'classic and timeless', 'well-planned in advance', 'neither rap or rock', 'Slightly Introverted', 'Not Motivated at All', 'Fairly Creative', 'Severely Overwhelmed', 'Terrible Job', 'Very Highly Spiritual', 'Highly Family-Oriented', 'Extremely Lonely', 'Moderately Enjoys Going Out', 'Very Passionate About Working Out', 'Academic Success is My Top Priority', 'Prefers Nature Strongly', 'Neutral Towards Politically Incorrect Humor', 'Passionate About Discussing Politics']}, {'participant_name': 'Megan Fowler', 'profession': 'biomass power plant manager', 'participant_info': ['emotions and feelings', 'mainstream blockbuster lover', 'funny person', 'classic and timeless', 'spontanous and improvized', 'rap', 'Mostly Extroverted', 'Moderately Motivated', 'Fairly Creative', 'Extremely Stressed', 'Dream Job', 'Deeply Enlightened', 'Highly Family-Oriented', 'Moderately Lonely', 'Very Highly Enjoys Going Out', 'Lives to Work Out', 'Academic Success Extremely Matters', 'Leans Toward City', 'Very Highly Enjoys Politically Incorrect Humor', 'Loves Discussing Politics']}, {'participant_name': 'Charles Jones', 'profession': 'nanotechnology engineering technologist or technician', 'participant_info': ['logical and facts', 'mainstream blockbuster lover', 'funny person', 'trendy and expressive', 'well-planned in advance', 'rock', 'Ambiverted', 'Rarely Motivated', 'Very Highly Creative', 'Very Highly Stressed', 'Great Job', 'Not Spiritual at All', 'Moderately Family-Oriented', 'Slightly Lonely', 'Fairly Enjoys Going Out', 'Highly Enjoys Working Out', 'Academic Success Highly Matters', 'Prefers City Strongly', 'Very Highly Enjoys Politically Incorrect Humor', 'Moderately Enjoys Discussing Politics']}, {'participant_name': 'Theresa Ochoa', 'profession': 'space scientist', 'participant_info': ['emotions and feelings', ""author's film enthusiast"", 'smart person', 'trendy and expressive', 'spontanous and improvized', 'rap', 'Slightly Introverted', 'Slightly Motivated', 'Not Creative at All', 'Rarely Stressed', 'Very Bad Job', 'Highly Spiritual', 'Rarely Family-Oriented', 'Slightly Lonely', 'Occasionally Enjoys Going Out', 'Occasionally Works Out', ""Academic Success Doesn't Matter at All"", 'Enjoys City More', 'Strongly Dislikes Politically Incorrect Humor', 'Passionate About Discussing Politics']}]"
87,Enjoy a Bento box & Conversations with Strangers,09/03/2025,20,1000,mumbai,"['english', 'hindi']",87,Cynthia Parks,"['emotions and feelings', 'mainstream blockbuster lover', 'funny person', 'classic and timeless', 'well-planned in advance', 'rock', 'Highly Extroverted', 'Not Motivated at All', 'Extremely Creative', 'Very Highly Stressed', 'Very Bad Job', 'Very Highly Spiritual', 'Fairly Family-Oriented', 'Rarely Lonely', 'Very Highly Enjoys Going Out', 'Rarely Works Out', 'Academic Success Occasionally Matters', 'Thrives in the City', 'Absolutely Loves Politically Incorrect Humor', 'Moderately Enjoys Discussing Politics']","[{'participant_name': 'Kathleen Barrett', 'profession': 'physicist', 'participant_info': ['emotions and feelings', 'mainstream blockbuster lover', 'funny person', 'trendy and expressive', 'spontanous and improvized', 'rock', 'Mostly Extroverted', 'Not Motivated at All', 'Highly Creative', 'Rarely Stressed', 'Very Bad Job', 'Fairly Spiritual', 'Moderately Family-Oriented', 'Rarely Lonely', 'Hates Going Out', 'Moderately Enjoys Working Out', 'Academic Success Highly Matters', 'Leans Toward Nature', 'Slightly Dislikes Politically Incorrect Humor', 'Rarely Discusses Politics']}, {'participant_name': 'Keith Long', 'profession': 'molecular and cellular biologist', 'participant_info': ['logical and facts', ""author's film enthusiast"", 'funny person', 'classic and timeless', 'well-planned in advance', 'neither rap or rock', 'Slightly Extroverted', 'Not Motivated at All', 'Slightly Creative', 'Fairly Stressed', 'Very Good Job', 'Highly Spiritual', 'Rarely Family-Oriented', 'Extremely Lonely', 'Rarely Enjoys Going Out', 'Extremely Dedicated to Working Out', 'Academic Success Rarely Matters', 'Loves Only Nature', 'Very Highly Enjoys Politically Incorrect Humor', 'Avoids Discussing Politics']}, {'participant_name': 'Cynthia Parks', 'profession': 'physics teacher, postsecondary', 'participant_info': ['emotions and feelings', 'mainstream blockbuster lover', 'funny person', 'classic and timeless', 'well-planned in advance', 'rock', 'Highly Extroverted', 'Not Motivated at All', 'Extremely Creative', 'Very Highly Stressed', 'Very Bad Job', 'Very Highly Spiritual', 'Fairly Family-Oriented', 'Rarely Lonely', 'Very Highly Enjoys Going Out', 'Rarely Works Out', 'Academic Success Occasionally Matters', 'Thrives in the City', 'Absolutely Loves Politically Incorrect Humor', 'Moderately Enjoys Discussing Politics']}]"
88,B&B - Breads and Banter' with Insiya,08/03/2025,8,1000,mumbai,"['english', 'hindi']",88,Michael Brock,"['logical and facts', 'mainstream blockbuster lover', 'smart person', 'classic and timeless', 'well-planned in advance', 'neither rap or rock', 'Noticeably Introverted', 'Highly Motivated', 'Occasionally Creative', 'Occasionally Stressed', 'Very Good Job', 'Fairly Spiritual', 'Moderately Family-Oriented', 'Moderately Lonely', 'Hates Going Out', 'Fairly Enjoys Working Out', ""Academic Success Doesn't Matter at All"", 'Leans Toward City', 'Highly Enjoys Politically Incorrect Humor', 'Loves Discussing Politics']","[{'participant_name': 'Brooke Lee', 'profession': 'epidemiologist', 'participant_info': ['logical and facts', 'mainstream blockbuster lover', 'funny person', 'trendy and expressive', 'spontanous and improvized', 'neither rap or rock', 'Slightly Introverted', 'Occasionally Motivated', 'Moderately Creative', 'Moderately Stressed', 'Dream Job', 'Very Highly Spiritual', 'Moderately Family-Oriented', 'Occasionally Lonely', 'Rarely Enjoys Going Out', 'Rarely Works Out', 'Academic Success Extremely Matters', 'Prefers City Strongly', 'Highly Enjoys Politically Incorrect Humor', 'Passionate About Discussing Politics']}, {'participant_name': 'Megan Holloway', 'profession': 'environmental scientist or specialist', 'participant_info': ['logical and facts', ""author's film enthusiast"", 'smart person', 'classic and timeless', 'spontanous and improvized', 'rock', 'Mostly Extroverted', 'Not Motivated at All', 'Fairly Creative', 'Slightly Stressed', 'Very Bad Job', 'Moderately Spiritual', 'Occasionally Family-Oriented', 'Rarely Lonely', 'Very Highly Enjoys Going Out', 'Somewhat Enjoys Working Out', 'Academic Success Extremely Matters', 'Prefers City Strongly', 'Mildly Enjoys Politically Incorrect Humor', 'Highly Enjoys Discussing Politics']}, {'participant_name': 'Michael Brock', 'profession': '', 'participant_info': ['logical and facts', 'mainstream blockbuster lover', 'smart person', 'classic and timeless', 'well-planned in advance', 'neither rap or rock', 'Noticeably Introverted', 'Highly Motivated', 'Occasionally Creative', 'Occasionally Stressed', 'Very Good Job', 'Fairly Spiritual', 'Moderately Family-Oriented', 'Moderately Lonely', 'Hates Going Out', 'Fairly Enjoys Working Out', ""Academic Success Doesn't Matter at All"", 'Leans Toward City', 'Highly Enjoys Politically Incorrect Humor', 'Loves Discussing Politics']}]"
89,B&B - Breads and Banter' with Insiya,08/03/2025,5,4000,chennai,"['english', 'hindi']",89,Matthew Valenzuela,"['emotions and feelings', ""author's film enthusiast"", 'smart person', 'classic and timeless', 'spontanous and improvized', 'rock', 'Highly Introverted', 'Not Motivated at All', 'Slightly Creative', 'Moderately Stressed', 'Average Job', 'Rarely Spiritual', 'Not Family-Oriented at All', 'Moderately Lonely', 'Occasionally Enjoys Going Out', 'Moderately Enjoys Working Out', 'Academic Success is My Top Priority', 'Thrives in the City', 'Highly Enjoys Politically Incorrect Humor', 'Often Enjoys Discussing Politics']","[{'participant_name': 'Joshua Stephens', 'profession': '', 'participant_info': ['logical and facts', ""author's film enthusiast"", 'smart person', 'trendy and expressive', 'well-planned in advance', 'rock', 'Noticeably Introverted', 'Highly Motivated', 'Fairly Creative', 'Severely Overwhelmed', 'Very Good Job', 'Not Spiritual at All', 'Occasionally Family-Oriented', 'Very Highly Lonely', 'Very Highly Enjoys Going Out', 'Somewhat Enjoys Working Out', 'Academic Success Rarely Matters', 'Thrives in the City', 'Absolutely Loves Politically Incorrect Humor', 'Highly Enjoys Discussing Politics']}, {'participant_name': 'Travis Williams', 'profession': '', 'participant_info': ['emotions and feelings', ""author's film enthusiast"", 'funny person', 'classic and timeless', 'spontanous and improvized', 'neither rap or rock', 'Moderately Introverted', 'Incredibly Self-Driven', 'Not Creative at All', 'Moderately Stressed', 'Good Job', 'Highly Spiritual', 'Extremely Family-Oriented', 'Occasionally Lonely', 'Moderately Enjoys Going Out', 'Moderately Enjoys Working Out', 'Academic Success Extremely Matters', 'Thrives in the City', 'Occasionally Tolerates Politically Incorrect Humor', 'Highly Enjoys Discussing Politics']}, {'participant_name': 'Cynthia Hobbs', 'profession': 'health technician', 'participant_info': ['logical and facts', 'mainstream blockbuster lover', 'smart person', 'trendy and expressive', 'well-planned in advance', 'rock', 'Ambiverted', 'Very Highly Motivated', 'Very Highly Creative', 'Severely Overwhelmed', 'Very Good Job', 'Deeply Enlightened', 'Very Highly Family-Oriented', 'Extremely Lonely', 'Fairly Enjoys Going Out', 'Highly Enjoys Working Out', 'Academic Success Occasionally Matters', 'Leans Toward City', 'Highly Enjoys Politically Incorrect Humor', 'Often Enjoys Discussing Politics']}, {'participant_name': 'Matthew Valenzuela', 'profession': 'physics teacher, postsecondary', 'participant_info': ['emotions and feelings', ""author's film enthusiast"", 'smart person', 'classic and timeless', 'spontanous and improvized', 'rock', 'Highly Introverted', 'Not Motivated at All', 'Slightly Creative', 'Moderately Stressed', 'Average Job', 'Rarely Spiritual', 'Not Family-Oriented at All', 'Moderately Lonely', 'Occasionally Enjoys Going Out', 'Moderately Enjoys Working Out', 'Academic Success is My Top Priority', 'Thrives in the City', 'Highly Enjoys Politically Incorrect Humor', 'Often Enjoys Discussing Politics']}]"
90,From Page to Stage with Arjun Sajnani,02/03/2025,15,2500,bangalore,"['english', 'kannada']",90,Lisa Garcia,"['logical and facts', ""author's film enthusiast"", 'smart person', 'classic and timeless', 'well-planned in advance', 'rap', 'Ambiverted', 'Rarely Motivated', 'Very Highly Creative', 'Slightly Stressed', 'Below Average Job', 'Slightly Spiritual', 'Fairly Family-Oriented', 'Rarely Lonely', 'Extremely Enjoys Going Out', 'Moderately Enjoys Working Out', ""Academic Success Doesn't Matter at All"", 'Loves Only City', 'Highly Enjoys Politically Incorrect Humor', 'Moderately Enjoys Discussing Politics']","[{'participant_name': 'Stacey Brown', 'profession': 'electrician', 'participant_info': ['logical and facts', ""author's film enthusiast"", 'funny person', 'classic and timeless', 'spontanous and improvized', 'rock', 'Highly Extroverted', 'Incredibly Self-Driven', 'Slightly Creative', 'Not Stressed at All', 'Bad Job', 'Rarely Spiritual', 'Very Highly Family-Oriented', 'Never Lonely', 'Hates Going Out', 'Highly Enjoys Working Out', 'Academic Success Occasionally Matters', 'Enjoys Nature More', 'Mildly Enjoys Politically Incorrect Humor', 'Highly Enjoys Discussing Politics']}, {'participant_name': 'Mr. Brandon Olsen', 'profession': 'atmospheric scientist', 'participant_info': ['logical and facts', 'mainstream blockbuster lover', 'funny person', 'classic and timeless', 'well-planned in advance', 'rock', 'Mostly Extroverted', 'Slightly Motivated', 'Moderately Creative', 'Highly Stressed', 'Below Average Job', 'Moderately Spiritual', 'Deeply Devoted to Family', 'Moderately Lonely', 'Rarely Enjoys Going Out', 'Occasionally Works Out', 'Academic Success Fairly Matters', 'Loves Only City', 'Slightly Dislikes Politically Incorrect Humor', 'Often Enjoys Discussing Politics']}, {'participant_name': 'Lisa Garcia', 'profession': '', 'participant_info': ['logical and facts', ""author's film enthusiast"", 'smart person', 'classic and timeless', 'well-planned in advance', 'rap', 'Ambiverted', 'Rarely Motivated', 'Very Highly Creative', 'Slightly Stressed', 'Below Average Job', 'Slightly Spiritual', 'Fairly Family-Oriented', 'Rarely Lonely', 'Extremely Enjoys Going Out', 'Moderately Enjoys Working Out', ""Academic Success Doesn't Matter at All"", 'Loves Only City', 'Highly Enjoys Politically Incorrect Humor', 'Moderately Enjoys Discussing Politics']}]"
91,Philosophy of Living,09/03/2025,20,1500,mumbai,"['english', 'hindi']",91,Robert Hahn,"['logical and facts', 'mainstream blockbuster lover', 'smart person', 'classic and timeless', 'spontanous and improvized', 'neither rap or rock', 'Highly Extroverted', 'Not Motivated at All', 'Fairly Creative', 'Highly Stressed', 'Very Good Job', 'Very Highly Spiritual', 'Highly Family-Oriented', 'Fairly Lonely', 'Hates Going Out', 'Rarely Works Out', 'Academic Success is My Top Priority', 'Enjoys Nature More', 'Absolutely Loves Politically Incorrect Humor', 'Somewhat Enjoys Discussing Politics']","[{'participant_name': 'Alicia Lawrence', 'profession': 'physician', 'participant_info': ['logical and facts', ""author's film enthusiast"", 'smart person', 'trendy and expressive', 'well-planned in advance', 'rap', 'Mostly Extroverted', 'Fairly Motivated', 'Highly Creative', 'Not Stressed at All', 'Good Job', 'Deeply Enlightened', 'Not Family-Oriented at All', 'Occasionally Lonely', 'Hates Going Out', 'Lives to Work Out', 'Academic Success Occasionally Matters', 'Balanced Between Nature and City', 'Strongly Dislikes Politically Incorrect Humor', 'Often Enjoys Discussing Politics']}, {'participant_name': 'Robert Hahn', 'profession': 'physics teacher, postsecondary', 'participant_info': ['logical and facts', 'mainstream blockbuster lover', 'smart person', 'classic and timeless', 'spontanous and improvized', 'neither rap or rock', 'Highly Extroverted', 'Not Motivated at All', 'Fairly Creative', 'Highly Stressed', 'Very Good Job', 'Very Highly Spiritual', 'Highly Family-Oriented', 'Fairly Lonely', 'Hates Going Out', 'Rarely Works Out', 'Academic Success is My Top Priority', 'Enjoys Nature More', 'Absolutely Loves Politically Incorrect Humor', 'Somewhat Enjoys Discussing Politics']}]"
92,Best Gin Cocktails in Town!,01/03/2025,8,5000,chennai,"['english', 'tamil']",92,Billy Hood,"['emotions and feelings', 'mainstream blockbuster lover', 'funny person', 'trendy and expressive', 'spontanous and improvized', 'rap', 'Moderately Introverted', 'Incredibly Self-Driven', 'Rarely Creative', 'Slightly Stressed', 'Dream Job', 'Fairly Spiritual', 'Rarely Family-Oriented', 'Completely Isolated', 'Moderately Enjoys Going Out', 'Very Passionate About Working Out', 'Academic Success Highly Matters', 'Enjoys City More', 'Occasionally Tolerates Politically Incorrect Humor', 'Highly Enjoys Discussing Politics']","[{'participant_name': 'Amanda Patel', 'profession': 'computer systems engineer architect', 'participant_info': ['emotions and feelings', ""author's film enthusiast"", 'funny person', 'classic and timeless', 'spontanous and improvized', 'neither rap or rock', 'Highly Extroverted', 'Highly Motivated', 'Highly Creative', 'Not Stressed at All', 'Terrible Job', 'Rarely Spiritual', 'Extremely Family-Oriented', 'Very Highly Lonely', 'Rarely Enjoys Going Out', 'Occasionally Works Out', ""Academic Success Doesn't Matter at All"", 'Leans Toward Nature', 'Occasionally Tolerates Politically Incorrect Humor', 'Passionate About Discussing Politics']}, {'participant_name': 'Ronald Smith', 'profession': '', 'participant_info': ['logical and facts', 'mainstream blockbuster lover', 'smart person', 'trendy and expressive', 'well-planned in advance', 'rap', 'Noticeably Introverted', 'Rarely Motivated', 'Moderately Creative', 'Very Highly Stressed', 'Terrible Job', 'Very Highly Spiritual', 'Rarely Family-Oriented', 'Moderately Lonely', 'Rarely Enjoys Going Out', 'Extremely Dedicated to Working Out', 'Academic Success Slightly Matters', 'Thrives in the City', 'Highly Enjoys Politically Incorrect Humor', 'Loves Discussing Politics']}, {'participant_name': 'Michelle Johnson', 'profession': '', 'participant_info': ['emotions and feelings', 'mainstream blockbuster lover', 'funny person', 'classic and timeless', 'spontanous and improvized', 'rock', 'Ambiverted', 'Incredibly Self-Driven', 'Fairly Creative', 'Fairly Stressed', 'Very Good Job', 'Moderately Spiritual', 'Deeply Devoted to Family', 'Very Highly Lonely', 'Rarely Enjoys Going Out', 'Very Passionate About Working Out', 'Academic Success Occasionally Matters', 'Loves Only Nature', 'Occasionally Tolerates Politically Incorrect Humor', 'Hates Discussing Politics']}, {'participant_name': 'Billy Hood', 'profession': 'physics teacher, postsecondary', 'participant_info': ['emotions and feelings', 'mainstream blockbuster lover', 'funny person', 'trendy and expressive', 'spontanous and improvized', 'rap', 'Moderately Introverted', 'Incredibly Self-Driven', 'Rarely Creative', 'Slightly Stressed', 'Dream Job', 'Fairly Spiritual', 'Rarely Family-Oriented', 'Completely Isolated', 'Moderately Enjoys Going Out', 'Very Passionate About Working Out', 'Academic Success Highly Matters', 'Enjoys City More', 'Occasionally Tolerates Politically Incorrect Humor', 'Highly Enjoys Discussing Politics']}]"
93,Enjoy Ramen with Strangers,01/03/2025,15,1500,chennai,"['english', 'telugu']",93,Carrie Oneal,"['logical and facts', 'mainstream blockbuster lover', 'smart person', 'classic and timeless', 'well-planned in advance', 'rap', 'Mostly Extroverted', 'Slightly Motivated', 'Exceptionally Imaginative', 'Moderately Stressed', 'Very Bad Job', 'Slightly Spiritual', 'Not Family-Oriented at All', 'Completely Isolated', 'Very Highly Enjoys Going Out', 'Hates Working Out', 'Academic Success is My Top Priority', 'Enjoys City More', 'Absolutely Loves Politically Incorrect Humor', 'Avoids Discussing Politics']","[{'participant_name': 'Teresa Myers', 'profession': 'geoscientist', 'participant_info': ['logical and facts', ""author's film enthusiast"", 'smart person', 'classic and timeless', 'well-planned in advance', 'rap', 'Slightly Extroverted', 'Extremely Motivated', 'Exceptionally Imaginative', 'Fairly Stressed', 'Decent Job', 'Deeply Enlightened', 'Deeply Devoted to Family', 'Very Highly Lonely', 'Highly Enjoys Going Out', 'Moderately Enjoys Working Out', ""Academic Success Doesn't Matter at All"", 'Loves Only City', 'Mostly Dislikes Politically Incorrect Humor', 'Avoids Discussing Politics']}, {'participant_name': 'Nicholas Lawrence', 'profession': 'diagnostic medical sonographer', 'participant_info': ['logical and facts', ""author's film enthusiast"", 'smart person', 'classic and timeless', 'well-planned in advance', 'rock', 'Very Highly Introverted', 'Fairly Motivated', 'Moderately Creative', 'Very Highly Stressed', 'Very Bad Job', 'Highly Spiritual', 'Highly Family-Oriented', 'Rarely Lonely', 'Moderately Enjoys Going Out', 'Rarely Works Out', 'Academic Success Moderately Matters', 'Loves Only Nature', 'Absolutely Loves Politically Incorrect Humor', 'Passionate About Discussing Politics']}, {'participant_name': 'Carrie Oneal', 'profession': 'physics teacher, postsecondary', 'participant_info': ['logical and facts', 'mainstream blockbuster lover', 'smart person', 'classic and timeless', 'well-planned in advance', 'rap', 'Mostly Extroverted', 'Slightly Motivated', 'Exceptionally Imaginative', 'Moderately Stressed', 'Very Bad Job', 'Slightly Spiritual', 'Not Family-Oriented at All', 'Completely Isolated', 'Very Highly Enjoys Going Out', 'Hates Working Out', 'Academic Success is My Top Priority', 'Enjoys City More', 'Absolutely Loves Politically Incorrect Humor', 'Avoids Discussing Politics']}]"
94,Bombay Style Breakfast with Strangers,01/03/2025,4,1500,mumbai,"['english', 'hindi']",94,Brittany Cardenas,"['emotions and feelings', 'mainstream blockbuster lover', 'funny person', 'trendy and expressive', 'spontanous and improvized', 'rap', 'Moderately Introverted', 'Incredibly Self-Driven', 'Rarely Creative', 'Slightly Stressed', 'Dream Job', 'Fairly Spiritual', 'Rarely Family-Oriented', 'Completely Isolated', 'Moderately Enjoys Going Out', 'Very Passionate About Working Out', 'Academic Success Highly Matters', 'Enjoys City More', 'Occasionally Tolerates Politically Incorrect Humor', 'Highly Enjoys Discussing Politics']","[{'participant_name': 'Crystal Bruce', 'profession': 'photonics technician', 'participant_info': ['logical and facts', ""author's film enthusiast"", 'smart person', 'classic and timeless', 'well-planned in advance', 'rap', 'Moderately Introverted', 'Rarely Motivated', 'Moderately Creative', 'Severely Overwhelmed', 'Good Job', 'Deeply Enlightened', 'Fairly Family-Oriented', 'Extremely Lonely', 'Highly Enjoys Going Out', 'Fairly Enjoys Working Out', 'Academic Success Occasionally Matters', 'Leans Toward Nature', 'Occasionally Tolerates Politically Incorrect Humor', 'Occasionally Discusses Politics']}, {'participant_name': 'Parker Wang', 'profession': 'economist', 'participant_info': ['emotions and feelings', ""author's film enthusiast"", 'smart person', 'classic and timeless', 'well-planned in advance', 'rap', 'Moderately Introverted', 'Occasionally Motivated', 'Extremely Creative', 'Not Stressed at All', 'Dream Job', 'Very Highly Spiritual', 'Extremely Family-Oriented', 'Occasionally Lonely', 'Rarely Enjoys Going Out', 'Very Passionate About Working Out', 'Academic Success is My Top Priority', 'Prefers Nature Strongly', 'Strongly Dislikes Politically Incorrect Humor', 'Hates Discussing Politics']}, {'participant_name': 'Albert Dougherty', 'profession': 'information security engineer', 'participant_info': ['logical and facts', 'mainstream blockbuster lover', 'smart person', 'trendy and expressive', 'spontanous and improvized', 'rock', 'Slightly Extroverted', 'Fairly Motivated', 'Very Highly Creative', 'Moderately Stressed', 'Very Good Job', 'Highly Spiritual', 'Very Highly Family-Oriented', 'Extremely Lonely', 'Very Highly Enjoys Going Out', 'Occasionally Works Out', 'Academic Success is My Top Priority', 'Thrives in the City', 'Slightly Dislikes Politically Incorrect Humor', 'Moderately Enjoys Discussing Politics']}, {'participant_name': 'Brittany Cardenas', 'profession': 'physics teacher, postsecondary', 'participant_info': ['emotions and feelings', 'mainstream blockbuster lover', 'funny person', 'trendy and expressive', 'spontanous and improvized', 'rap', 'Moderately Introverted', 'Incredibly Self-Driven', 'Rarely Creative', 'Slightly Stressed', 'Dream Job', 'Fairly Spiritual', 'Rarely Family-Oriented', 'Completely Isolated', 'Moderately Enjoys Going Out', 'Very Passionate About Working Out', 'Academic Success Highly Matters', 'Enjoys City More', 'Occasionally Tolerates Politically Incorrect Humor', 'Highly Enjoys Discussing Politics']}]"
